"","subject","Rep50Same","Rep50Different","Rep1000Same","Rep1000Different","Sw50Same","Sw50Different","Sw1000Same","Sw1000Different","avAccuracy","condition"
"4",12,94.6428571428571,93.75,88.2352941176471,97.7272727272727,90.6976744186046,97.8260869565217,85.1851851851852,90.5660377358491,92.3288010354922,"Perceptual"
"5",13,97.8260869565217,96,97.6744186046512,97.2222222222222,92.4528301886792,91.8367346938776,92.8571428571429,91.5254237288136,94.6743574064885,"Perceptual"
"6",14,97.9166666666667,100,93.8775510204082,94.4444444444444,96.3636363636364,90.3846153846154,97.6190476190476,92.1052631578947,95.3389030820892,"Perceptual"
"9",17,95.9183673469388,100,97.2972972972973,98.0769230769231,95.7446808510638,96.1538461538462,97.8723404255319,95.8333333333333,97.1120985606168,"Perceptual"
"10",18,90.7407407407407,80.8510638297872,82.2222222222222,90.9090909090909,91.4893617021277,81.8181818181818,75,89.7959183673469,85.3533224486872,"Perceptual"
"11",19,100,98.2142857142857,100,98.1132075471698,92.8571428571429,100,100,97.6744186046512,98.3573818404062,"Perceptual"
"12",2,98,100,100,100,100,100,100,100,99.75,"Perceptual"
"14",21,100,100,98.0769230769231,100,96.2264150943396,89.1891891891892,98,97.8260869565217,97.4148267896217,"Perceptual"
"16",23,100,91.8918918918919,100,92.8571428571429,96.7213114754098,93.8775510204082,92.5925925925926,97.7777777777778,95.7147834519029,"Perceptual"
"17",24,94.2307692307692,96.1538461538462,91.0714285714286,91.1111111111111,88.4615384615385,74.3589743589744,94.5945945945946,91.1111111111111,90.1366716991717,"Perceptual"
"19",26,98,98.2456140350877,100,95.7446808510638,95.6521739130435,97.5,93.3333333333333,95.9183673469388,96.7992711849334,"Perceptual"
"20",27,97.9591836734694,97.9591836734694,95,95.1219512195122,87.7551020408163,89.3617021276596,91.8367346938776,94.4444444444444,93.6797877341561,"Perceptual"
"21",28,75.5555555555556,85.1063829787234,97.2222222222222,92.3076923076923,85.4838709677419,87.5,81.6666666666667,86.1111111111111,86.3691877262142,"Perceptual"
"22",3,100,100,100,100,98.3050847457627,93.75,97.5,100,98.6943855932203,"Perceptual"
"23",4,92.4528301886792,95.6521739130435,90.9090909090909,95.5555555555556,95.8333333333333,87.5,93.6170212765958,89.3617021276596,92.6102134129947,"Perceptual"
"24",5,91.8367346938776,98.0392156862745,97.9166666666667,100,90.7407407407407,93.0232558139535,92.8571428571429,93.9393939393939,94.7941437997562,"Perceptual"
"25",6,93.4782608695652,89.5833333333333,96.969696969697,88.8888888888889,80.7692307692308,80,88,70.3703703703704,86.0074726501357,"Perceptual"
"27",8,96,97.8260869565217,100,100,95.9183673469388,91.8367346938776,91.8367346938776,97.5609756097561,96.3723624126215,"Perceptual"
"28",9,100,100,100,100,91.1111111111111,96.078431372549,91.1111111111111,93.8775510204082,96.5222755768974,"Perceptual"
"29",29,94.7368421052632,94.1176470588235,94.5945945945946,100,97.3684210526316,91.4893617021277,93.6170212765958,89.2857142857143,94.4012002594688,"Perceptual"
"31",31,100,95.6521739130435,98.1818181818182,96.8253968253968,97.9591836734694,87.7551020408163,81.25,100,94.702959329318,"Perceptual"
"32",32,100,100,98.0392156862745,100,100,100,97.5,100,99.4424019607843,"Perceptual"
"33",33,98,98,100,98.1818181818182,98,93.4782608695652,97.9166666666667,100,97.9470932147563,"Perceptual"
"34",34,79.1666666666667,82.9268292682927,82.3529411764706,94.3396226415094,80.3571428571429,84,87.5,87.1794871794872,84.7278362236962,"Perceptual"
"35",35,97.8260869565217,95.7446808510638,92.8571428571429,98.2456140350877,92.4528301886792,93.75,93.6170212765958,97.3684210526316,95.2327246522153,"Perceptual"
"41",12,79.4871794871795,75,86.046511627907,80,81.4814814814815,90.7407407407407,75.6756756756757,88.3720930232558,82.10046025453,"Memory"
"51",13,98,91.1111111111111,91.4285714285714,93.8775510204082,89.7959183673469,86,94.2307692307692,93.75,92.2742401447759,"Memory"
"61",14,97.4358974358974,92.5925925925926,83.3333333333333,94,94.9152542372881,92.8571428571429,97.5,91.304347826087,92.9923210352927,"Memory"
"91",17,91.1111111111111,90.2439024390244,93.0232558139535,95.5555555555556,84.6153846153846,80.7017543859649,85.7142857142857,88.6792452830189,88.7055618647873,"Memory"
"101",18,95.5555555555556,93.4782608695652,93.3333333333333,85.7142857142857,88.2352941176471,94.5454545454545,74.3589743589744,75,87.527644811852,"Memory"
"111",19,84.3137254901961,88.6792452830189,81.25,81.8181818181818,82.9787234042553,77.2727272727273,73.6842105263158,92.8571428571429,82.8567445814797,"Memory"
"121",2,97.4358974358974,100,100,100,100,100,100,98.0769230769231,99.4391025641026,"Memory"
"141",21,96.2264150943396,100,97.4358974358974,92.6829268292683,93.4782608695652,95.1219512195122,95.7446808510638,91.0714285714286,95.2201951088844,"Memory"
"161",23,97.8723404255319,92.3076923076923,100,95.8333333333333,90.5660377358491,85.4545454545455,86.9565217391304,91.6666666666667,92.5821422078436,"Memory"
"171",24,93.1818181818182,94.4444444444444,88,91.4893617021277,86.2745098039216,86.9565217391304,85.7142857142857,84.3137254901961,88.7968333844905,"Memory"
"191",26,93.0232558139535,97.8260869565217,97.4358974358974,96.3636363636364,94.6428571428571,90,91.4893617021277,90.4761904761905,93.907160736398,"Memory"
"201",27,95.7446808510638,97.8260869565217,95.7446808510638,100,98.2142857142857,93.4782608695652,97.6744186046512,97.8260869565217,97.0635626004592,"Memory"
"211",28,95.2380952380952,89.7435897435898,92.8571428571429,92.156862745098,98.2456140350877,94.6428571428571,90.9090909090909,93.6170212765958,93.4262842434447,"Memory"
"221",3,92.7272727272727,97.8260869565217,94.8717948717949,88.6363636363636,84.7826086956522,88,89.5833333333333,96,91.5534325276173,"Memory"
"231",4,88.2352941176471,91.6666666666667,86.9565217391304,73.9130434782609,85.1851851851852,74.4186046511628,82.9787234042553,88.3720930232558,83.9657665331955,"Memory"
"241",5,82.5,85.9649122807018,89.4736842105263,90.6976744186046,89.5833333333333,85.7142857142857,82.5,88.8888888888889,86.9153473557926,"Memory"
"251",6,100,98.1818181818182,92.3076923076923,94.4444444444444,100,95,91.6666666666667,88.0952380952381,94.9619824619825,"Memory"
"271",8,93.4782608695652,97.5609756097561,97.0588235294118,94,89.0909090909091,94.3396226415094,96.2962962962963,95.5555555555556,94.6725554491254,"Memory"
"281",9,100,97.4358974358974,92.3076923076923,89.7959183673469,91.8367346938776,92,95.2380952380952,89.7435897435898,93.5447409733124,"Memory"
"291",29,92.3076923076923,95.2380952380952,90.2439024390244,92.3076923076923,96.2264150943396,90.1639344262295,92.3076923076923,84.3137254901961,91.6386437013702,"Memory"
"311",31,98,100,87.5,90,79.3103448275862,82,89.1304347826087,91.6666666666667,89.7009307846077,"Memory"
"321",32,97.9166666666667,100,97.6744186046512,94.2307692307692,95.8333333333333,96.3636363636364,100,91.4893617021277,96.688523237648,"Memory"
"331",33,97.9591836734694,92.4528301886792,97.4358974358974,94,100,95,100,97.6744186046512,96.8152912378372,"Memory"
"341",34,93.1034482758621,91.0714285714286,88.2352941176471,92.5925925925926,94.9152542372881,92,90.6976744186046,86.7924528301887,91.1760181304515,"Memory"
"351",35,97.9166666666667,97.6744186046512,88.6363636363636,80.9523809523809,86.5384615384615,92,91.4893617021277,84.6153846153846,89.9778797145045,"Memory"
